證券代碼,Y,現金及約當現金佔流動資產,應收帳款及票據佔流動資產,存貨佔流動資產,不動產廠房及設備佔非流動資產,應付帳款及票據佔流動負債,其他應付款佔流動負債,普通股股本佔股東權益總額,股本佔股東權益總額,每股盈餘,營運現金流量比率,營運現金流量對淨利比率,營運指數,營運現金流量佔本期產生現金流量,投資活動之現金流量佔本期產生現金流量,籌資活動之現金流量佔本期產生現金流量,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,稅前息前折舊前淨利率,ROE(B)－常續利益,營業毛利率,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,常續利益率－稅後,貝里比率,營業資產報酬率,營業費用率,用人費用率,研究發展費用率,現金流量比率,常續性EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,季底每股稅前淨利,季底每股稅後淨利,營收成長率,營業毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,現金流量允當比,流動比率,總負債/總淨值,利息保障倍數,營業利益 /實收資本比,稅前純益 /實收資本,內部保留比率,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,平均收帳天數,存貨週轉率（次）,平均售貨天數,淨值週轉率（次）,淨營業週期（日）,季底售貨天數,自由現金流量(D),季底應收帳款/營收TSE,Tobins Q,Tobins Q (A),高管基層薪資差異(倍)
2434 統懋,0,0.346457772,0.288933064,0.288957772,0.941412706,0.401887726,0.392088518,0.82185724,0.82185724,0.57,0.921988122,2.236886343,5.83342791,0.54339456,-0.467222815,0.970018835,9.62,3.53,7.53,4.78,18.5,4.95,17.95,17.95,7.6,7.66,6.15,0.06,6.37,173.46,4.09,10.35,19.45,1.93,92.2,0.59,1.58,9.2,0.7,0.71,0.71,0.57,2.84,-8.31,-3.1,35.49,32.03,32.03,86.85,22.15,5.79,0.44,80.81,629.52,60.05,9.91,6.99,7.05,10.8,748960,51.16,2.87,0.52,127.11,2.33,156.51,0.78,254.7,150.45,-334465,33.82,2.26,2.26,2.94
3096 碩良,1,0.010003862,0.187044456,0.137700922,0.654696249,0.089230601,0.10997045,8.565058033,8.565058033,-4.43,0.051373536,-0.033288419,12.07541542,-0.354050385,-1.015160658,2.375395987,-47.38,-64.47,-37.84,-131.1,-198.42,-93.85,18.07,18.07,-80.46,-248.77,-274.1,-168.32,-196.22,18.34,-24.19,98.53,45.06,27.97,5.14,-3.17,0.13,1.62,-1.3,-4.02,-4.02,-4.43,16.51,292.01,41.25,0.58,-1,-1,14.02,-51.92,-79.13,-0.85,-42.13,90.69,276.61,-44.17,-13.01,-40.23,,-8502,65.76,3.07,0.24,118.94,1.44,253.64,0.48,314.87,89.69,-114651,27.35,0.78,0.78,0.93
3268 海德威,0,0.300697613,0.399604648,0.02111687,0.722272172,0.563155465,0.174343004,0.665381215,0.693907247,1.19,0.009389693,0.052913846,479.9096839,-0.108009972,0.896054628,0.213039237,7.77,4.65,2.7,8.07,5.84,1.42,13.17,13.17,0.04,3.94,3.42,3.9,0.6,100.27,0.06,13.14,5.84,3.83,0.94,0.21,0.07,32.93,0.01,1.35,1.3,1.14,-20.9,-5.14,-95.48,171.56,30.39,135.88,-61.04,9.48,6.64,2.77,46.36,204.97,79.42,40.32,0.12,12.97,73.26,222801,43.73,6.4,1.33,57.04,77.3,4.72,2.36,15.23,4.04,26243,18.18,2.32,2.32,4.61
3291 遠翔科,0,0.167388358,0.528793341,0.291932686,0.446238379,0.71777111,0.266258168,0.695642641,0.695642641,2.52,0.812347514,1.02807304,10.27988263,29.05466399,-16.17903711,-11.87562688,19.36,15.54,19.81,18.58,13.41,18.6,31.42,31.42,13.36,9.46,10.75,-3.9,10.76,173.99,21.65,18.06,11.02,12.61,81.23,2.53,2.28,23.46,3.14,2.22,2.22,2.52,35.42,21.58,26.72,2.24,22.64,22.64,23.18,12.2,12.44,3.27,21.55,487.34,19.55,1044.57,31.35,22.2,56.78,276245,78.18,3.46,1.44,105.48,3.99,91.37,1.73,151.39,90.67,36482,30.86,2.79,2.79,2.47
3475 富晶,0,0.517039445,0.127439399,0.205057683,0.360588052,0.444580672,0.063217571,0.630885205,0.630885205,3.17,0.662323221,0.999885214,5.252478942,1.48649744,-0.248218857,-0.249136092,21.81,16.17,19.3,20.92,22.78,21.68,39.53,39.53,20.21,19.04,16.75,-1.16,17.36,204.58,23.01,19.32,8.42,5.88,66.23,3.31,3.61,19.07,3.85,3.61,3.63,3.19,14.75,8.34,99.52,136.17,103.68,103.68,71.18,17.95,11.26,8.88,105.78,338.31,34.09,102.74,37.98,35.79,11.74,501475,38.35,8.45,0.96,43.19,3.53,103.48,1.25,77.78,120.36,10934,12.39,1.06,1.06,0.89
3482 智成,0,0.69345022,0.201900187,0.037041414,0.167075191,0.729821081,0.226009405,0.827918526,0.827918526,0.79,0.535388883,1.880779531,12.83717898,3.158034457,-1.567396251,-0.590638206,15.82,5.42,14.82,6.59,11.12,8.96,23.18,23.18,4.49,4.14,3.81,-0.34,5.18,123.99,7.78,18.7,12.18,11.55,53.54,1.07,1.62,20.68,0.93,0.86,0.86,0.79,-17.02,-8.82,-48.35,-51.28,-51.85,-51.85,-37.76,8.29,2.2,-4.03,226.09,435.22,25.16,,9.28,8.57,100,364972,25.91,10.08,1.42,36.21,41.76,8.74,1.73,3.1,11.15,43172,12.79,1.26,1.26,2.78
3567 逸昌,0,0.611402756,0.379890129,,0.973598658,0.229020652,0.199210354,0.832105899,0.832105899,0.85,1.142977292,3.105595582,2.847017824,2.762351081,-0.749647112,-1.012703969,19.66,5.7,15.82,7.24,39.58,7.24,26.41,26.41,11.29,11.31,10.66,0.02,10.66,174.74,5.96,15.11,33.81,4.85,114.3,0.84,2.79,7.91,0.89,0.9,0.89,0.84,28.48,61.75,301.08,401.46,372.77,372.77,372.77,0.15,6.78,6.31,,248.99,32.51,11.43,8.93,8.94,5.1,127551,19.11,3.78,0.5,96.67,0,0,0.68,64.86,0,39261,29.07,0.92,0.92,5.53
3571 兆宏,0,0.719252572,0.116437409,0.141029619,0.208132553,0.64344204,0.329974257,0.584008389,0.584008389,1.16,2.208659431,4.210920929,4.334235311,0.515261439,-0.236568907,0.721307468,16.64,7,13.99,8.53,12.44,8.53,47.03,47.03,11.05,5.48,5.24,-5.57,5.24,130.7,16.25,35.98,17.57,24.23,220.87,1.12,5.13,21.36,2.36,1.22,1.17,1.12,3.21,12.69,-16.29,-57.54,-57.78,-57.78,-57.81,53.82,88.07,-9.15,,767.21,13.07,,23.6,11.7,98.2,515771,25.74,7.2,1.34,50.73,3.5,104.15,1.63,88.84,77.88,-169533,9.33,1.45,1.45,2.59
3614 誠致,0,0.589825602,0.20855525,0.142861278,0.268483333,0.589484997,,0.56515452,0.57035949,1.25,0.248229042,1.108834377,18.5404963,3.071185341,-6.745175936,4.634911626,12.77,5.36,10.79,7.13,11.59,6.96,36.29,36.29,2.26,4.86,4.86,2.6,4.75,106.64,2.85,34.03,18.82,22,24.82,1.12,1.38,23.68,0.54,1.25,1.15,1.15,-8.4,9.64,-57.88,-7.45,-7.45,-7.45,-7.8,13.42,21.03,2.11,,362.23,29.08,,5.3,11.41,27.36,400159,37.01,6.35,1.1,57.48,6.38,57.17,1.47,24.65,64.41,14975,16.41,0.77,0.77,2.36
4923 力士,0,0.383793693,0.090485057,0.486678696,0.684225118,0.87608478,0.109521028,0.997425251,0.997425251,0.03,0.028802292,13.53594771,24.75132786,0.051789242,-0.127084948,1.075295706,,,,,0.86,,9.11,9.11,-0.7,0.3,0.22,1,0.22,92.88,,9.81,6.95,6.47,2.88,0.03,0.48,11.92,-0.08,0.04,0.04,0.03,,,,,,,,,,,,144.91,166.79,,-0.83,0.36,100,32290,139.49,,,,,,,,397.26,,18.39,0.37,0.37,
